tiff_file,ground_truth
Dataset/ThermEval-D/Thermal_16,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_83,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_3,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_99,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_12,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_66,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_148,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_197,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_188,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_97,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_79,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_222,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_73,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_209,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_60,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_106,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_65,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_52,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_11,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_167,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_238,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_40,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_126,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_108,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_171,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_74,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_89,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_45,"['Chest', 'Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_98,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_212,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_62,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_142,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_38,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_116,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_217,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_4,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_43,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_194,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_53,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_15,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_82,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_207,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_109,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_127,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_164,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_77,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_67,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_76,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_147,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_161,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_132,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_50,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_113,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_187,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_28,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_27,"['Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_149,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_179,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_196,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_59,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_136,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_78,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_168,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_195,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_13,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_114,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_210,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_54,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_20,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_39,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_107,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_145,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_51,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_125,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_124,"['Chest', 'Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_111,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_211,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_110,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_93,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_94,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_88,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_166,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_152,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_123,"['Chest', 'Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_71,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_178,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_199,"['Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_165,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_44,"['Chest', 'Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_121,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_68,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_170,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_184,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_182,"['Nose', 'Forehead']"
Dataset/ThermEval-D/Thermal_101,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_112,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_237,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_5,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_91,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_236,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_80,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_156,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_208,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_180,"['Nose', 'Chest', 'Forehead']"
Dataset/ThermEval-D/Thermal_117,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_118,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_56,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_143,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_100,"['Forehead', 'Nose']"
Dataset/ThermEval-D/Thermal_48,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_87,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1006,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1007,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1008,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1009,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1010,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1011,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1012,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1013,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1014,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1015,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1016,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1017,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1018,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1019,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1020,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1021,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1022,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1023,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1024,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1025,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1027,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1028,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1029,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1030,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_1031,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1032,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1034,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1035,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1037,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1038,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1043,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_1044,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_511,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_512,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_513,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_514,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_515,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_516,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_517,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_518,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_519,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_520,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_521,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_522,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_523,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_524,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_525,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_526,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_527,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_528,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_529,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_531,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_533,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_536,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_537,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_538,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_539,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_541,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_542,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_543,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_544,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_545,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_546,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_551,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_552,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_553,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_554,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_556,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_557,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_558,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_559,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_560,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_561,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_562,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_563,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_564,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_565,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_566,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_567,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_568,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_569,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_570,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_571,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_572,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_573,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_574,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_576,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_577,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_579,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_581,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_582,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_583,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_584,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_585,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_586,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_587,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_591,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_596,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_598,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_601,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_602,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_603,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_604,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_605,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_606,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_607,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_608,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_609,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_610,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_611,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_612,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_613,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_614,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_615,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_616,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_617,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_619,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_623,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_626,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_627,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_630,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_646,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_647,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_648,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_649,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_651,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_652,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_653,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_654,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_655,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_656,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_658,"['Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_659,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_660,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_691,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_692,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_693,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_694,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_695,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_696,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_697,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_698,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_699,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_700,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_701,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_702,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_703,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_704,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_705,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_710,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_736,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_737,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_738,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_739,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_740,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_741,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_743,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_744,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_745,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_746,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_747,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_748,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_749,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_750,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_751,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_754,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_763,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_781,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_782,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_783,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_784,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_788,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_789,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_790,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_791,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_792,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_794,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_796,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_799,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_802,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_803,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_808,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_809,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_826,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_827,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_831,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_832,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_834,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_835,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_836,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_837,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_838,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_839,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_842,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_852,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_871,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_872,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_873,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_874,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_875,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_876,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_877,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_878,"['Nose', 'Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_879,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_880,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_882,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_883,"['Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_885,"['Forehead', 'Nose', 'Chest']"
Dataset/ThermEval-D/Thermal_916,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_917,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_918,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_919,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_920,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_921,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_922,"['Forehead', 'Chest']"
Dataset/ThermEval-D/Thermal_926,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_927,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_929,"['Forehead', 'Chest', 'Nose']"
Dataset/ThermEval-D/Thermal_930,"['Forehead', 'Chest']"
